符合條件商品
資料日期：2026年  6月 18日
策略,	.常用
"序號","代碼","商品","成交","漲幅%","總量","振幅","市值(億)","股本(億)","成交值(億)","推估獲利","蘭質","LPE","蘭值","有CB","W55","55高","55低","集保","評比值","大戶增比","人數降比","月增","年增","累增","投三","外三","TOTAL","55漲%","21跌%","產業","細產業","所有細產業",產業地位
1	,"1101.TW","台泥","24.5","-0.2","32351","1.43","1847","752.32","6.44","-0.09","6","24","25","1","1","0","0","0","0","0.05","-0.13","3","-0","-4","0","-3","-3","0.13","0","上市水泥","水泥","水泥,水泥製品,預拌混凝土,電力,汽電共生",台灣最大水泥廠
2	,"1102.TW","亞泥","35.8","0.7","19588","1.54","1261","354.66","5.42","0.18","5","36","14","1","1","0","0","0","0","-0.05","0.28","11","-1","-8","-2.6","-1.9","-4.5","0.11","0","上市水泥","水泥","水泥,預拌混凝土,高爐水泥,電力,汽電共生",台灣前二大水泥廠
3	,"1103.TW","嘉泥","13.8","0","233","1.46","109","83.29","0.06","-0.09","4","0","0","0","1","0","0","0","0","0.02","-0.02","11","-8","-12","0","0","0","0.07","0","上市水泥","水泥","水泥,貨櫃場服務,運輸事業,地產,物業投資發展,旅宿／餐飲,飯店",主要從事水泥通路貿易
4	,"1104.TW","環泥","29.1","0","1605","0.86","200","68.67","0.15","0.33","4","22","18","0","1","0","0","0","0","0.01","0.04","3","2","-7","0","-0.1","-0.1","0.1","0","上市水泥","預拌混凝土","水泥,水泥製品,預拌混凝土",台灣最大石膏板供應商
5	,"1108.TW","幸福","13.9","0","149","1.08","56","40.47","0.04","-0.28","5","20","25","0","0","0","0","0","0","-0.1","0.49","4","-14","-19","0","-0","0","0","0.04","上市水泥","水泥","水泥,預拌混凝土,高爐水泥",台灣第三大水泥廠
6	,"1109.TW","信大","14.65","0","258","1.02","50","34.12","0.01","-0.24","6","0","0","0","0","0","0","0","0","0","0.13","2","-15","-16","0","0","0","0","0.03","上市水泥","水泥","水泥,預拌混凝土,高爐水泥",銷售市場以台北、宜蘭、基隆、桃園等為主
7	,"1110.TW","東泥","15.55","-1.27","266","1.59","90","57.2","0.06","0.05","6","57","11","0","1","0","0","0","0","-0.1","-0.15","-2","-11","-17","0","0","0","0.24","0","上市水泥","水泥","水泥,高爐水泥",台灣中南部市場水泥供應商
8	,"1201.TW","味全","12.55","0.8","490","1.21","63","50.61","0.04","-0.22","6","62","10","0","0","0","0","0","0","-0.04","-0.01","2","-5","-4","0","-0","0","0","0","上市食品","乳製品","非酒精飲料,乳製品,食品加工,飲料相關",老牌綜合食品大廠
9	,"1203.TW","味王","43","-0.35","5","2.67","104","24","0.01","0.46","8","18","44","0","1","0","0","0","0","0.01","-0.04","-1","-10","-13","0","0","0","0.13","0","上市食品","調味品","速食麵,調味品,食品加工,罐頭業,調理食品,資產股",老牌食品廠
10	,"1210.TW","大成","54.7","-0.73","3386","1.44","493","89.48","1.39","0.83","8","12","67","0","1","0","0","0","0","0.99","-1.6","-0","10","5","1.9","-1.7","0.2","0.09","0","上市食品","飼料","農林漁牧,飼料,食品加工,大宗物資,肉品加工",白肉雞電宰加工廠及飼料大廠
11	,"1213.TW","大飲","8.33","-2","12","0.35","5","5.66","0","-0.32","5","0","0","0","0","0","0","0","0","0","-0.17","-10","14","13","0","0","0","0","0","上市食品","非酒精飲料","非酒精飲料,飲料相關",產品以蘋果西打為主
12	,"1215.TW","卜蜂","115","-1.29","2068","2.6","343","29.48","2.4","1.43","4","20","20","0","0","0","0","0","0","-0.89","1.25","7","2","4","0","-0.8","-0.8","0","0.22","上市食品","肉品加工","農林漁牧,飼料,食品加工,肉品加工",台灣白肉雞供應商及飼料大廠
13	,"1216.TW","統一","74.5","-1.97","26981","1.72","4318","568.2","8.3","0.81","13","16","81","0","1","0","0","0","0","0.24","-1.59","3","3","3","-0.1","-1.9","-2","0.13","0","上市食品","乳製品","速食麵,非酒精飲料,乳製品,食品加工,穀類烘焙製品,飲料相關",台灣食品業龍頭廠之一
14	,"1217.TW","愛之味","9.88","-0.1","538","0.71","49","49.45","0.05","-0.2","8","82","10","0","1","0","0","0","0","0.12","-0.09","-5","-15","-3","0","-0","0","0.08","0","上市食品","非酒精飲料","非酒精飲料,乳製品,食品加工,罐頭業,飲料相關",以飲料、傳統類罐頭為主的食品商
15	,"1218.TW","泰山","17.9","-0.28","1195","0.84","90","50","0.13","-0.06","9","17","53","0","1","0","0","0","0","-0.47","0.25","-3","-1","5","0","-0.2","-0.2","0.07","0.04","上市食品","油脂","非酒精飲料,大宗物資,油脂,飲料相關",台灣油脂、飲料大廠
16	,"1219.TW","福壽","12.6","0","269","1.2","43","34.12","0.04","-0.18","7","0","0","0","0","0","0","0","0","-0.06","-0","-9","-7","-1","0","0","0","0","0.04","上市食品","飼料","農林漁牧,飼料,食品加工,大宗物資,油脂,寵物食品",台灣知名農糧油脂、寵物飼料大廠
17	,"1220.TW","台榮","11.7","0","78","0.85","21","17.71","0.02","-0.2","2","0","0","0","0","0","0","0","0","0.02","0.07","-20","-13","-5","0","-0","0","0","0.04","上市食品","飼料","流通業,食品飲料相關通路,農林漁牧,飼料,製糖,食品加工,大宗物資,磨粉製品",台灣知名果糖大廠，並生產飼料及水產品
18	,"1225.TW","福懋油","32.25","-2.27","272","5","80","24.23","0.58","0.4","12","17","71","0","1","0","0","0","0","-0.31","0.14","-7","2","3","0","-0.1","-0.1","0.15","0","上市食品","油脂","農林漁牧,飼料,大宗物資,麵粉,油脂",台灣油脂、飼料大廠
19	,"1227.TW","佳格","29.1","0.87","2304","1.04","264","91.51","0.29","-0.13","13","17","76","0","0","0","0","0","0","-0.13","0.18","18","5","8","0","-0.2","-0.2","0","0","上市食品","油脂","乳製品,食品加工,大宗物資,油脂,保健食品,穀類烘焙製品",台灣最大穀物營養品與油品供應商
20	,"1229.TW","聯華","41.9","-0.12","4134","1.79","753","179.6","0.61","-0.05","8","105","8","0","0","0","0","0","0","0.08","-0.42","30","-9","-9","0","0.3","0.3","0","0","上市食品","麵粉","大宗物資,麵粉,系統整合,軟體業",聯華神通集團之創始公司，是台灣麵粉品牌龍頭企業
21	,"1231.TW","聯華食","87.4","0.46","221","1.26","260","29.85","0.24","0.48","7","25","28","0","0","0","0","0","0","0.05","-0.03","-2","-3","4","0","-0.3","-0.3","0","0","上市食品","調理食品","食品加工,穀類烘焙製品,調理食品,餅乾製品",台灣休閒食品大廠，並供應7-11鮮食產品
22	,"1232.TW","大統益","143","-0.35","223","0.69","230","16","0.31","2.24","10","15","67","0","1","0","0","0","0","0.03","0.36","-3","10","8","0","-0.2","-0.2","0.04","0.03","上市食品","油脂","食品加工,大宗物資,油脂,磨粉製品",台灣最大黃豆加工製造廠，是豆粉與油脂製造龍頭
23	,"1233.TW","天仁","28","0.18","28","0.36","25","9.06","0.01","-0.06","14","22","64","0","0","0","0","0","0","0.06","0.16","9","-4","2","0","-0","0","0","0.07","上市食品","茶葉相關","食品加工,茶葉相關,旅宿／餐飲,餐飲,連鎖飲料",台灣知名茶葉廠並轉投資喫茶趣
24	,"1234.TW","黑松","34.85","-0.43","119","0.71","141","40.19","0.04","-0.56","8","2732","0","0","1","0","0","0","0","0","-0.05","1","-23","-6","0","0","0","0.06","0","上市食品","非酒精飲料","流通業,食品飲料相關通路,非酒精飲料,飲料相關,資產股",主要從事黑松品牌飲料製造及酒品代理
25	,"1235.TW","興泰","37.65","1.76","21","4.31","70","18.86","0","-0.25","10","101305","0","0","0","0","0","0","0","-0.18","0.2","-46","-38","47","0","0","0","0","0.15","上市食品","飼料","農林漁牧,飼料",生產畜產及水產類飼料之廠商
26	,"1236.TW","宏亞","25.8","0.39","143","1.76","22","8.67","0.01","-0.62","10","31","32","0","1","0","0","0","0","0.08","-0.24","-12","-4","3","0","0","0","0.12","0","上市食品","可可製品","食品加工,可可製品,餅乾製品",旗下七七巧克力與禮坊喜餅為知名品牌
27	,"1240.TW","茂生農經","58.4","0.17","12","0.34","26","4.42","0.01","0.3","6","26","23","0","0","0","0","0","0","-0.01","0.2","3","3","3","0","-0","0","0","0","上櫃農業科技業","飼料","農林漁牧,家畜／家禽,飼料",家禽家畜飼料、大宗原料供應商
28	,"1256.TW","鮮活果汁-KY","181.5","1.68","117","2.8","64","3.58","0.08","2.32","13","17","76","1","0","0","0","0","0","-0.04","0.89","4","24","47","0","-0","0","0","0.28","上市食品","非酒精飲料","非酒精飲料,飲料相關",大陸新茶飲上游原料供應商
29	,"1259.TW","安心","58","0.35","17","0","19","3.24","0","-0.25","10","54","19","0","0","0","0","0","0","0.11","-0.18","12","3","3","0","0","0","0","0","上櫃觀光餐旅","餐飲","旅宿／餐飲,餐飲",東元旗下，以摩斯為速食餐飲連鎖品牌
30	,"1264.TW","德麥","271.5","-0.73","28","1.48","101","3.71","0.05","4.77","11","11","100","0","1","0","0","0","0","-0.06","0.21","-12","3","6","0","-0","0","0.05","0.03","上櫃食品","食品飲料相關通路","流通業,食品飲料相關通路,食品加工,穀類烘焙製品,磨粉製品",台灣最大烘焙原物料供應商
31	,"1268.TW","漢來美食","169.5","0.3","20","1.18","71","4.22","0.06","1.41","14","7","200","0","1","0","0","0","0","0","-0.35","16","11","15","0","0","0","0.14","0","上櫃觀光餐旅","餐飲","旅宿／餐飲,餐飲",台灣知名餐飲集團，經營多元品牌
32	,"1301.TW","台塑","51.7","7.82","188509","3.53","3052","636.57","8.86","-0.3","11","0","0","0","0","0","0","0","0","-0.79","1.6","-18","1","-4","-0","10.8","10.8","0","0.24","上市塑膠","PVC","合成樹脂,鹼業,化學工業,其他化工產品,PVC,PE,PP,塑化原料,EVA,AN,化纖原料",台灣最大塑化集團，亞洲最大PVC生產商
33	,"1303.TW","南亞","139","9.88","134285","11.3","10032","793.08","113.9","0.36","7","107","7","0","1","1","0","0","0","-0.23","1.62","4","31","13","0.6","54.6","55.2","0.76","0","上市塑膠","塑膠加工","合成樹脂,丁二醇,化學工業,DOP,塑膠皮布,塑膠加工,PA,塑化原料,塑化製品,化學纖維,聚酯絲,聚酯棉,聚酯粒,化纖原料,EG,玻纖布,印刷電路板,銅箔基板,銅箔,印刷電路板相關",全球最大的塑膠加工廠、第四大EG廠
