符合條件商品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
資料日期：2026年  6月 24日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
策略,"	.常用",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序號,代碼,商品,成交,漲幅%,總量,振幅,市值(億),股本(億),成交值(億),推估獲利,蘭質,LPE,蘭值,有CB,W55,55高,55低,集保,評比值,大戶增比,人數降比,月增,年增,累增,投三,外三,TOTAL,55漲%,21跌%,產業,細產業,所有細產業,產業地位,
"1	",1101.TW,台泥,24.2,0.21,26022,1.85,1817,752.32,8.42,-0.09,6,23,26,1,0,0,0,0,0,0.13,-0.36,3,0,-4,0,-10.9,-10.9,0,0.07,上市水泥,水泥,"水泥,水泥製品,預拌混凝土,電力,汽電共生",台灣最大水泥廠,
"2	",1102.TW,亞泥,36,0.84,11925,2.61,1266,354.66,5.72,0.18,5,36,14,1,1,1,0,0,0,0.31,-0.99,11,-1,-8,-4.3,-0.2,-4.5,0.13,0.07,上市水泥,水泥,"水泥,預拌混凝土,高爐水泥,電力,汽電共生",台灣前二大水泥廠,
"3	",1103.TW,嘉泥,13.6,-0.37,275,1.82,108,83.29,0.03,-0.09,4,0,0,0,1,0,0,0,0,0.07,-0.11,11,-8,-12,0,0,0,0.08,0.05,上市水泥,水泥,"水泥,貨櫃場服務,運輸事業,地產,物業投資發展,旅宿／餐飲,飯店",主要從事水泥通路貿易,
"4	",1104.TW,環泥,26.85,-0.92,2871,0.86,199,68.67,0.79,0.33,4,21,19,0,1,0,0,0,0,0.04,-0.1,3,2,-7,0,-0.7,-0.7,0.1,0.03,上市水泥,預拌混凝土,"水泥,水泥製品,預拌混凝土",台灣最大石膏板供應商,
"5	",1108.TW,幸福,13.8,0,351,1.08,56,40.47,0.04,-0.28,5,20,25,0,0,0,0,0,0,-0.04,0.06,4,-14,-19,0,0,0,0,0.04,上市水泥,水泥,"水泥,預拌混凝土,高爐水泥",台灣第三大水泥廠,
"6	",1109.TW,信大,14.5,0.69,99,1.03,49,34.12,0.04,-0.24,6,0,0,0,0,0,0,0,0,0.01,0.03,2,-15,-16,0,0,0,0,0.03,上市水泥,水泥,"水泥,預拌混凝土,高爐水泥",銷售市場以台北、宜蘭、基隆、桃園等為主,
"7	",1110.TW,東泥,15.5,-0.32,64,2.58,89,57.2,0.03,0.05,6,56,11,0,0,0,0,0,0,-0.06,-0.36,-2,-11,-17,0,0,0,0,0.13,上市水泥,水泥,"水泥,高爐水泥",台灣中南部市場水泥供應商,
"8	",1201.TW,味全,12.4,0.4,526,1.2,62,50.61,0.06,-0.22,6,61,10,0,0,0,0,0,0,-0.16,-0.08,2,-5,-4,0,0,0,0,0.04,上市食品,乳製品,"非酒精飲料,乳製品,食品加工,飲料相關",老牌綜合食品大廠,
"9	",1203.TW,味王,43.45,0,1,5.84,104,24,0.01,0.46,8,18,44,0,1,0,0,0,0,0,-0.09,-1,-10,-13,0,0,0,0.12,0.06,上市食品,調味品,"速食麵,調味品,食品加工,罐頭業,調理食品,資產股",老牌食品廠,
"10	",1210.TW,大成,54.8,0.37,1671,0.91,489,89.48,1.26,0.83,8,12,67,0,1,0,0,0,0,0.28,-0.29,0,10,5,0.2,0.2,0.4,0.09,0.03,上市食品,飼料,"農林漁牧,飼料,食品加工,大宗物資,肉品加工",白肉雞電宰加工廠及飼料大廠,
"11	",1213.TW,大飲,7.92,-2.1,12,1.25,5,5.66,0,-0.32,5,0,0,0,0,0,1,0,0,0,-0.12,-10,14,13,0,0,0,0,0.18,上市食品,非酒精飲料,"非酒精飲料,飲料相關",產品以蘋果西打為主,
"12	",1215.TW,卜蜂,115,-0.86,707,1.3,342,29.48,1.56,1.43,4,20,20,0,0,0,0,0,0,-0.93,0.66,7,2,4,-0.4,-0.3,-0.7,0,0.2,上市食品,肉品加工,"農林漁牧,飼料,食品加工,肉品加工",台灣白肉雞供應商及飼料大廠,
"13	",1216.TW,統一,75.1,0,19277,2.15,4267,568.2,12.92,0.81,13,16,81,0,1,0,0,0,0,0.19,-1.51,3,3,3,20,-21.6,-1.6,0.13,0.05,上市食品,乳製品,"速食麵,非酒精飲料,乳製品,食品加工,穀類烘焙製品,飲料相關",台灣食品業龍頭廠之一,
